KU-typ;FK;Elementnamn XML-fil;Obl;Fälttyp;SambandskontrollID;SambandskontrollText;Beskrivning;Xml fält grupp;SKVs tooltip i etjänst för direkt-registrering;
KU10;001;AvdragenSkatt;N;Belopp10;;;Avdragen skatt;;;
KU10;008;AnstalldFrom;N;Manad;;;Anställd fr.o.m. månad;;Om inkomsttagaren varit anställd del av året anger du första anställningsmånaden. Har anställningen varat hela året behöver du inte ange något här.;
KU10;009;AnstalldTom;N;Manad;009;Fk009 måste vara >= Fk008.;Anställd t.o.m. månad;;Om inkomsttagaren varit anställd del av året anger du sista anställningsmånaden. Har anställningen varat hela året behöver du inte ange något här.;
KU10;011;KontantBruttolonMm;N;Belopp10;010;Fk011 ska finnas om Fk205, Fk001, Fk012, Fk013, Fk020, Fk025, Fk030-035, Fk039 och Fk050-056 alla saknas.;Kontant bruttolön m.m. ;;Här fyller du framför allt i sådan ersättning (brutto) som arbetsgivaren ska betala arbetsgivaravgifter för.;
KU10;012;FormanUtomBilDrivmedel;N;Belopp10;015,017;"Om en/flera av Fk041, 042, 043, 044, 045, 047 finns och Fk031 och Fk025 saknas måste Fk012 >= 0.
Fk012 måste finnas om Fk021 eller Fk022 finns.";Skattepliktiga förmåner utom bilförmån och drivmedel vid bilförmån;;Här redovisar du det sammanlagda värdet av andra skattepliktiga förmåner än bilförmån och förmån av fritt drivmedel vid bilförmån. Markera i fält 41-47 vilken/vilka förmåner det gäller.;
KU10;013;BilformanUtomDrivmedel;N;Belopp7;019;Fk013 >= 0 om Fk031 saknas och Fk025 saknas, och någon av Fk014, Fk015 och Fk017 finns.;Skattepliktig bilförmån utom drivmedel;;Vid värdering av bilförmån räknas del av en månad som en hel månad. Om den anställde har betalat för bilförmånen med sin nettolön ska du minska förmånsvärdet med det beloppet. Om förmånsvärdet blir 0 kr (eller negativt), skriver du 0.;
KU10;014;KodForFormansbil;N;Bilkod;030;Om Fk013 finns ska Fk014 finnas.;Kod för förmånsbil;;Här fyller du i bilmodellens kod enligt Skatteverkets nybilsprislistor.  Så här är koden uppbyggd: ÅÅXXNNN där ÅÅ är tillverkningsår, XX är bilmärke och NNN är bilvariant. Om den anställde har bytt bil under året, redovisa koden för bilen som den anställde haft den längsta tiden eller koden för bilen som använts senast under året;
KU10;015;AntalManBilforman;N;AntalManader;;;Antal månader med bilförmån;;Här anger du hur många månader (om de är färre än 12) som den anställde har haft förmånsbil under året. Del av en månad ska räknas som en hel månad.;
KU10;016;KmBilersVidBilforman;N;AntalKm;;;Antal km med bilersättning vid bilförmån;;Här ska du fylla i om den anställde fått bilersättning för resa i tjänsten med förmånsbil. Fyll i det antal kilometer som ersättning har betalats för och markera fält 50.;
KU10;017;BetaltForBilforman;N;Belopp7;;;Betalt för bilförmån;;Här ska du fylla i det belopp som den anställde betalat med sin nettolön för bilförmånen.;
KU10;018;DrivmedelVidBilforman;N;Belopp7;;;Drivmedel vid bilförmån;;Här fyller du i förmån av fritt drivmedel vid bilförmån, värderat till marknadsvärdet x 1,2. Uppräkningen med 1,2 gäller när du redovisar förmånen i kontrolluppgiften. Vid beräkningen av arbetsgivaravgifter värderas det fria drivmedlet till marknadsvärdet, utan uppräkning.;
KU10;020;AndraKostnadsers;N;Belopp7;;;Kostnadsersättningar som inte kryssats i ruta 050 - 056;;;
KU10;021;UnderlagRutarbete;N;Belopp7;;;Underlag för skattereduktion för rutarbete;;Om den anställde haft förmån av rutarbete, fält 012, kan den anställde ha rätt till skattereduktion. Fyll i underlaget för skattereduktionen här. Obs! Underlaget motsvarar inte alltid värdet av förmånen. I underlaget får du bara ta med kostnader för arbete och inte kostnader för material, utrustning och resor, trots att de ingår vid värderingen av förmånen. Om den anställde av sin nettolön har betalat för förmånen, ska förmånens värde minskas men inte underlaget för skattereduktion.;
KU10;022;UnderlagRotarbete;N;Belopp7;;;Underlag för skattereduktion för rotarbete;;Om den anställde haft förmån av rotarbete, fält 012, kan den anställde ha rätt till skattereduktion. Fyll i underlaget för skattereduktionen här. Obs! Underlaget motsvarar inte alltid värdet av förmånen. I underlaget får du bara ta med kostnader för arbete och inte kostnader för material, utrustning och resor, trots att de ingår vid värderingen av förmånen. Om den anställde av sin nettolön har betalat för förmånen, ska förmånens värde minskas men inte underlaget för skattereduktion.;
KU10;025;ErsMEgenavgifter;N;Belopp10;139;Fk025 får inte finnas om Fk093 finns.;Ersättningar som ligger till grund för egenavgifter;;"Här redovisar du framför allt ersättningar till
personer, som utan att vara näringsidkare ändå ska
betala egenavgifter.";
KU10;030;Tjanstepension;N;Belopp10;;;Tjänstepension;;Här fyller du i pension som betalats ut till före detta anställda eller till deras efterlevande. Obs! Avgångsvederlag inte räknas som pension utan som lön och ska därför redovisas i fält 011.;
KU10;031;ErsEjSocAvg;N;Belopp10;;;Ersättningar som inte är underlag för socialavgifter ;;Här redovisar du bl.a. vissa ersättningar till idrottsutövare under ett halvt basbelopp och ersättningar till anställda som ska beskattas i Sverige men som tillhör ett annat lands socialförsäkring;
KU10;032;ErsEjSocAvgEjJobbavd;N;Belopp10;;;Ersättningar som inte är underlag för socialavgifter och som inte ger rätt till skattereduktion för arbetsinkomst (jobbskatteavdrag);;"Här redovisar du vissa livräntor, ärvd royalty om den ursprungliga förvärvskällan varit tjänst (till exempel ”engångsförfattare”), utbetalningar från vinstandelsstiftelse och periodiskt understöd.
Obs! Utbetalningar från vinstandelsstiftelse ska ibland behandlas som lön och då redovisas i fält 011.";
KU10;035;Forskarskattenamnden;N;Belopp10;;;Vissa inte skattepliktiga ersättningar till utländska experter m.fl. enligt beslut från Forskarskattenämnden;;Här fyller du i förmåner och ersättningar som är skattefria enligt beslut från Forskarskattenämnden. Obs! Den skattepliktiga delen av ersättningen redovisar du enligt vanliga regler i fält 011 och om så behövs i fält 012, 013, 018 och 020.;
